15-Jan-2019 00:23 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15723,'2019-01-14','2','00:00:00',7331,5995,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23558,30609) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5995
15-Jan-2019 00:23 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (16278,'2019-01-14','2','00:00:00',7331,5995,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23558,30609) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5995
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15740,'2019-01-14','2','00:00:00',7344,6004,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23598,30655) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 6004
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12322,'2019-01-14','2','00:00:00',4845,3904,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14876,19826) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3904
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12323,'2019-01-14','2','00:00:00',4845,3904,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14876,19826) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3904
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12324,'2019-01-14','2','00:00:00',4845,3904,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14876,19826) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3904
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12325,'2019-01-14','2','00:00:00',4845,3904,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14876,19826) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3904
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12326,'2019-01-14','2','00:00:00',4845,3904,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14876,19826) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3904
15-Jan-2019 00:26 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12327,'2019-01-14','2','00:00:00',4845,3904,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14876,19826) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3904
15-Jan-2019 00:28 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15749,'2019-01-14','2','00:00:00',7353,6013,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23634,30700) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 6013
15-Jan-2019 00:30 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15762,'2019-01-14','2','00:00:00',7360,6020,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23663,30736) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 6020
15-Jan-2019 00:30 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15763,'2019-01-14','2','00:00:00',7360,6020,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23663,30736) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 6020
15-Jan-2019 00:38 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15791,'2019-01-14','2','00:00:00',7384,6041,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23751,30842) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 6041
15-Jan-2019 00:39 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12441,'2019-01-14','2','00:00:00',4896,3940,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',15031,20021) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3940
15-Jan-2019 00:39 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12442,'2019-01-14','2','00:00:00',4900,3941,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',15036,20030) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3941
